ticker,event_date,score,rank,drivers,liquidity_concentration,float_turnover,runup,overnight_share,offering_prior_10d,prior_reverse_splits,peak_relative_volume,float_shares,close,suspected_unadjusted_split,control_kind,label
SYN0684,2023-07-28,0.9999907785748859,1,"prior_reverse_splits+, float_turnover+, runup+",0.49734003578096286,7.293314618561146,4.4033638121882355,0.8452260637200404,0,3,23.476331031410112,6190673.974915877,63.22828579002826,False,,1
SYN0060,2023-10-18,0.9996895604422437,2,"prior_reverse_splits+, runup+, small_trade_share+",0.4356462794577951,5.381130663551025,5.354703636315399,0.5411561719318932,0,2,30.164222030845533,6722629.733753347,136.05333269517595,False,,0
SYN0448,2023-08-01,0.9996236165054226,3,"runup+, small_trade_share+, prior_reverse_splits+",0.1329126791516301,2.5791861273481445,6.440872445718406,0.7479779309345428,1,1,10.160793671712085,8892784.726468105,15.585702521475959,False,,0
SYN1122,2024-04-11,0.9983507433790344,4,"float_turnover+, prior_reverse_splits+, overnight_share+",0.10403672303957207,7.453265918479336,2.4570726536624754,0.8126977932306361,0,1,55.70938548426112,6055787.824246692,16.345925365265064,False,,1
SYN0556,2023-09-25,0.9971924310939446,5,"prior_reverse_splits+, float_turnover+, runup+",0.5302492213214618,5.169994260653526,4.387268322075896,0.8147799968766528,0,2,65.88503870708095,21284729.43141911,9.596109726297293,False,,1
SYN0266,2024-06-10,0.9914854312093832,6,"runup+, prior_reverse_splits+, small_trade_share+",0.15739779891005584,1.4872564045034895,4.233613927687894,0.7710752729327169,0,1,6.524307857837858,14699893.665812554,18.30231510418193,False,,1
SYN0374,2024-07-10,0.9906819311189803,7,"prior_reverse_splits+, small_trade_share+, runup+",0.2698672550061194,0.761746862889321,2.803605533623311,0.5163255822033354,0,3,21.829075901251993,19251671.013616968,0.9237702121524832,False,,1
SYN0621,2024-04-10,0.9892711058912911,8,"float_turnover+, small_trade_share+, runup+",0.19692765093099704,9.953619012643303,4.602476018947139,0.4729507480986897,0,0,16.887412377908113,4222537.546053669,3.1419534620254956,False,,1
SYN0747,2024-02-20,0.9850519854344684,9,"runup+, overnight_share+, float_turnover+",0.48804245179728,4.792957328789374,7.273592650785672,0.8567615605530499,0,0,37.221775483443125,13755939.700104382,93.35558703134328,False,,0
SYN0640,2023-09-19,0.980053595982862,10,"runup+, overnight_share+, small_trade_share+",0.8223598259310584,1.580614509902043,5.383074282944893,0.8594279351048749,0,1,219.0457841173826,29166125.396923646,22.15958122588921,False,,1
SYN0003,2024-01-25,0.9768250379785148,11,"float_turnover+, runup+, prior_reverse_splits+",0.29270365091186934,7.272925357466441,4.021723172416496,0.5997363418476315,0,1,32.62304791854306,5364086.537743628,8.329735725325873,False,,1
SYN0839,2024-05-06,0.9539746764172958,12,"overnight_share+, small_trade_share+, runup+",0.08176214678196728,1.8671225041668573,3.1089830803083554,0.8020419014710856,0,0,8.274304671963506,14214628.628153574,12.36370855763983,False,,1
SYN0797,2023-07-25,0.9435639811142783,13,"float_turnover+, runup+, prior_reverse_splits+",0.4345769587612613,8.55391020075966,4.337152416766527,0.4831532821829973,0,1,111.03796496085607,19090333.91366417,60.208318121775385,False,,1
SYN0056,2023-11-01,0.9211496522871795,14,"prior_reverse_splits+, runup+, small_trade_share+",0.3433306656160604,3.2173848979816944,3.5693939947993947,0.5766380062846234,0,1,31.78052615476783,11976349.495570745,122.78147794848779,False,short_squeeze,0
SYN0616,2024-01-01,0.8910565420918679,15,"float_turnover+, small_trade_share+, runup+",0.8255233409665295,6.276611096452074,2.953492752028159,0.6400323245872771,0,0,294.56046839578016,48068282.9258838,33.95743543728539,False,short_squeeze,0
SYN0689,2024-03-28,0.8837752042876974,16,"runup+, float_turnover+, small_trade_share+",0.7174068285881129,4.723741103566308,6.046349158721002,0.703277439038101,0,0,152.41632964400168,26636788.985959668,1.7194222116295055,False,,1
SYN0386,2023-07-19,0.8424774193984009,17,"runup+, float_turnover+, small_trade_share+",0.5048419296177115,4.342310966367287,7.782218071424421,0.5294973250299649,0,0,28.05573530707753,4599763.617737774,68.12951082712355,False,,0
SYN0954,2023-12-06,0.8410504034349907,18,"small_trade_share+, runup+, prior_reverse_splits+",0.6513200876590545,3.91921650947114,4.34218655622077,0.3417823689279112,1,1,114.2033959095837,24252040.368350543,2.543872213962028,False,short_squeeze,0
SYN1178,2023-10-13,0.8315082330474122,19,"runup+, small_trade_share+, float_turnover+",0.8716075041768216,3.411144485456002,7.490715640156515,0.5892964767406841,0,0,267.38656281074645,114192664.56194334,15.632361342673304,True,meme_attention,0
SYN0643,2023-11-29,0.8110887973252034,20,"runup+, small_trade_share+, overnight_share+",0.1457726888791148,0.8877038392267631,4.54358782817017,0.7232376197302304,0,0,10.872385884508047,22319966.55242431,21.75477403523328,False,,0
SYN0665,2024-06-17,0.8063235543892316,21,"runup+, float_turnover+, overnight_share+",0.23448207909161486,4.250080645115529,4.167032310572343,0.7927083813250242,0,0,29.488703738093406,15702241.57433275,6.388212538640778,False,,1
SYN0366,2024-07-02,0.5745719543268263,22,"runup+, overnight_share+, small_trade_share+",0.25192545748291434,1.4184688160934298,5.717198526899768,0.647985316488779,0,0,10.819908325948697,12863911.982396465,44.10721074120509,False,,0
SYN0966,2023-09-21,0.376921522970546,23,"runup+, small_trade_share+, concentration_ratio+",0.09956353028842187,1.285122795093434,3.2415508606764836,0.4263737521152361,0,0,8.702818778991562,18018819.748906896,15.93180343727406,False,short_squeeze,0
SYN0679,2024-04-26,0.37144716389610155,24,"float_turnover+, concentration_ratio+, small_trade_share+",0.05134435904283983,4.4116419472257125,1.1370542204819245,0.4975441665424788,0,0,29.038884162647477,8263909.3190521635,4.450942512870574,False,,0
SYN0643,2023-10-16,0.2692655953155156,25,"overnight_share+, small_trade_share+, concentration_ratio+",0.06067411520362377,1.1575011969358824,1.1090205260946489,0.7232376197302302,0,0,22.948686735797278,22319966.55242431,7.518463646652351,False,,0
SYN0574,2024-06-18,0.2683548351530158,26,"float_turnover+, small_trade_share+, news_filing_in_window+",0.1696278421356471,5.874146626479196,1.23749584019819,0.5068064191857836,0,0,28.584540514562303,14383839.28299091,4.688124777657724,False,,0
SYN0520,2023-12-19,0.24906434290057677,27,"overnight_share+, concentration_ratio+, news_filing_in_window+",0.05261289157664562,1.3313899904712307,1.3245309607489748,0.8637683781692275,0,0,28.281198846109532,10065386.62293599,45.99582435687869,False,,0
SYN0956,2023-08-28,0.2424567316924508,28,"float_turnover+, runup+, overnight_share+",0.713887187308079,7.685301133768714,3.5039970454927674,0.6151921388900912,0,0,217.125434529495,37833596.22987421,46.471945452979504,False,short_squeeze,0
SYN1106,2024-05-10,0.20952095799784315,29,"runup+, float_turnover+, news_filing_in_window+",0.25087839329262446,2.620949874596781,4.317754052791579,0.5419065093561459,0,0,33.82514484835109,22818572.220577426,1.6899332218597436,False,short_squeeze,0
SYN0609,2023-09-07,0.2061275697989409,30,"float_turnover+, news_filing_in_window+, closing_auction_share+",0.34987916730291263,11.911143191691764,0.9033611774448469,,0,0,56.28598005021399,7873187.442277774,8.521945462961048,False,,0
SYN0679,2023-09-21,0.17950041369500325,31,"float_turnover+, concentration_ratio+, news_filing_in_window+",0.075972522186475,4.4876796886553425,1.1017263569591291,0.49754416654247874,0,0,21.43962265175077,8263909.3190521635,8.154089658505798,False,,0
SYN0626,2024-06-12,0.16474872103909205,32,"small_trade_share+, news_filing_in_window+, days_since_ipo_log+",0.09669363029127037,0.000777971041789292,1.1672635783367615,0.5535067440758467,0,0,21.69380355965722,103823915.88024755,2.680588219426663,False,,0
SYN0651,2023-09-11,0.13547465931361163,33,"small_trade_share+, concentration_ratio+, news_filing_in_window+",0.05051566279778653,0.6537670434350815,1.097721796088674,0.5325551904795235,0,0,29.660913357506423,67322842.9636657,17.521865176810646,False,,0
SYN0573,2023-12-21,0.1267985522181188,34,"prior_reverse_splits+, overnight_share+, small_trade_share+",0.06724625570879122,1.651662151172817,2.186073096140728,0.7245919072519196,0,1,5.1181957062683185,11335672.362961961,1.3320615630970554,False,biotech_readout,0
SYN0539,2023-10-30,0.12491210436901895,35,"runup+, small_trade_share+, overnight_share+",0.1303932788159378,0.5412154792627458,2.759417898704546,0.5978808530269623,0,0,5.799837033103588,33000768.98083173,44.86873637131979,False,meme_attention,0
SYN0495,2024-06-27,0.12083564030804621,36,"prior_reverse_splits+, small_trade_share+, news_filing_in_window+",0.0853559915781876,0.17499081402378014,0.8490678428628023,,0,1,19.21970294918343,46739276.26217302,2.2977165925743606,False,,0
SYN0492,2023-11-22,0.11431907893616895,37,"runup+, float_turnover+, small_trade_share+",0.13560385790746746,1.9753592198024834,2.685953173577884,0.4994167169421129,0,0,40.72368311237744,107109799.51340494,0.36021639313271364,False,meme_attention,0
SYN1197,2023-07-26,0.1080554646306039,38,"overnight_share+, news_filing_in_window+, concentration_ratio+",0.1047773114207097,1.0526027925385735,1.2827392376146143,0.9640083570450886,0,0,20.185637138684516,44166561.52686042,3.9303027567088478,False,,0
SYN1055,2023-10-06,0.10068213814348151,39,"float_turnover+, small_trade_share+, news_filing_in_window+",0.2069379818102202,5.090280826875893,1.4649194315983098,,0,0,31.009716106256437,16963724.779993422,9.454356394150684,False,,0
SYN0107,2024-03-22,0.08947867772397403,40,"small_trade_share+, float_turnover+, news_filing_in_window+",0.09267161896387285,2.093343505405086,0.9299930295580047,0.39143779970906595,0,0,44.04058086508001,9660675.349164251,2.0348713517541475,False,,0
SYN0500,2024-01-05,0.0876021472541172,41,"prior_reverse_splits+, concentration_ratio+, news_filing_in_window+",0.07487938111197008,0.7066833478687291,1.0065902533739353,,0,1,28.371085695357387,129182476.52972558,6.369712017581892,False,,0
SYN0424,2024-01-04,0.07532745664716205,42,"runup+, float_turnover+, news_filing_in_window+",0.49799529422386996,2.0978821583702776,6.041671132083858,0.30401472273708385,0,0,16.85776316830878,13513231.373311652,44.672786132925694,False,meme_attention,0
SYN0303,2024-01-09,0.06621700738245534,43,"runup+, small_trade_share+, news_filing_in_window+",0.24526341648101155,1.1879193597870294,4.266184235335538,0.3239027148185844,0,0,41.57765714934281,75410427.70450361,21.654321958399862,False,meme_attention,0
SYN0913,2024-05-16,0.05994178248326091,44,"overnight_share+, concentration_ratio+, news_filing_in_window+",0.0773118422895787,0.4950442613673472,1.2588494422816578,0.9377656172198193,0,0,36.78317118841678,45133125.95178328,1.195958841440456,False,,0
SYN1125,2024-03-22,0.04914285909270135,45,"runup+, small_trade_share+, news_filing_in_window+",0.5268332127040107,0.6669945473665853,7.08273909334351,0.34702719959225087,0,0,45.00567956481879,149985761.34538838,7.33617711452959,False,meme_attention,0
SYN0327,2024-06-19,0.04773753047495519,46,"small_trade_share+, concentration_ratio+, news_filing_in_window+",0.053326658745601406,0.5274888804984394,1.1928513752858654,0.510709285998039,0,0,28.850212723387344,48238941.02934608,3.3251556898895647,False,,0
SYN0726,2024-04-03,0.04673487909041094,47,"float_turnover+, news_filing_in_window+, closing_auction_share+",0.11441252196329055,2.6310108900225915,1.496784574068199,0.494194595456629,0,0,29.213339532275086,10851387.619970988,3.43810975706871,False,,0
SYN0237,2024-02-21,0.041645265150816166,48,"prior_reverse_splits+, news_filing_in_window+, closing_auction_share+",0.1507359816113529,0.7764710651647526,1.2728533305160084,,0,1,30.322822281300336,51105241.109764054,30.599606976030838,False,,0
SYN0189,2024-06-05,0.03639332427362154,49,"float_turnover+, news_filing_in_window+, concentration_ratio+",0.08115642046859725,3.11497747464532,1.161328180489384,0.4504505519624228,0,0,39.16730134375178,20060272.82977864,0.5819038896504923,False,,0
SYN1155,2024-04-09,0.03587355987684066,50,"concentration_ratio+, news_filing_in_window+, closing_auction_share+",0.055341783262034296,0.6938966599249927,1.5189017398750209,0.5347093800553165,0,0,1.9477593572378475,6725920.831647313,18.60667313120044,False,,0
